,model,Brand,os,Processor Name,Processor No. of Cores,Processor Speed,Number of Sim,5G,Wi-Fi,NFC,IR Blaster,Ram Size(GB),Rom Size(GB),Battery Capacity,Display Size(inches),Resolution Width,Resolution Height,Display Refresh Rate,Rear Camera 1,Rear Camera 2,Rear Camera 3,Front Camera,External Card Support,price,rating
0,OnePlus 11 5G,OnePlus,Android v13,Snapdragon 8 Gen2,8,3.2,2,1,1,1,0,12.0,256.0,5000.0,6.7,1440,3216,120,50,48,32,16,0,54999,89.0
1,OnePlus Nord CE 2 Lite 5G,OnePlus,Android v12,Snapdragon 695,8,2.2,2,1,1,0,0,6.0,128.0,5000.0,6.59,1080,2412,120,64,2,2,16,1,19989,81.0
2,Samsung Galaxy A14 5G,Samsung,Android v13,Exynos 1330,8,2.4,2,1,1,0,0,4.0,64.0,5000.0,6.6,1080,2408,90,50,2,2,13,1,16499,75.0
3,Motorola Moto G62 5G,Motorola,Android v12,Snapdragon  695,8,2.2,2,1,1,0,0,6.0,128.0,5000.0,6.55,1080,2400,120,50,8,2,16,1,14999,81.0
4,Realme 10 Pro Plus,Realme,Android v13,Dimensity 1080,8,2.6,2,1,1,0,0,6.0,128.0,5000.0,6.7,1080,2412,120,108,8,2,16,0,24999,82.0
5,Samsung Galaxy F23 5G (6GB RAM + 128GB),Samsung,Android v12,Snapdragon  750G,8,2.2,2,1,1,1,0,6.0,128.0,5000.0,6.6,1080,2408,120,50,8,2,8,1,16999,80.0
6,Apple iPhone 14,Apple,iOS v16,Bionic A15,6,3.22,2,1,1,1,0,6.0,128.0,3279.0,6.1,1170,2532,60,12,12,0,12,0,65999,81.0
7,Xiaomi Redmi Note 12 Pro Plus,Xiaomi,Android v12,Dimensity 1080,8,2.6,2,1,1,0,1,8.0,256.0,4980.0,6.67,1080,2400,120,200,8,2,16,0,29999,86.0
8,Nothing Phone 1,Nothing,Android v12,Snapdragon 778G Plus,8,2.5,2,1,1,1,0,8.0,128.0,4500.0,6.55,1080,2400,120,50,50,0,16,1,26749,85.0
9,OnePlus Nord 2T 5G,OnePlus,Android v12,Dimensity  1300,8,2.2,2,1,1,1,0,8.0,128.0,4500.0,6.43,1080,2400,90,50,8,2,32,1,28999,84.0
